id,name,description,price,currency,product_kind,delivery_mode,tracking_mode,active,line_id
prod-001,Legal Consultation,Initial legal consultation and case assessment,750000,PHP,service,scheduled,none,true,
prod-002,Tax Advisory,Tax planning and advisory services,500000,PHP,service,scheduled,none,true,
prod-003,Business Registration,SEC/DTI business registration assistance,1500000,PHP,service,scheduled,none,true,
prod-004,Audit Services,Financial statement audit and attestation,2500000,PHP,service,scheduled,none,true,
prod-005,Notarial Services,Notarization of legal documents and contracts,150000,PHP,service,scheduled,none,true,
prod-006,Bookkeeping,Monthly bookkeeping and ledger maintenance,800000,PHP,service,scheduled,none,true,
prod-007,Payroll Processing,Monthly payroll computation and statutory compliance,600000,PHP,service,scheduled,none,true,
prod-008,IT Consulting,IT systems assessment and technology advisory,900000,PHP,service,scheduled,none,true,
prod-009,Marketing Strategy,Marketing plan development and brand strategy,2000000,PHP,service,scheduled,none,true,
prod-010,Graphic Design,Brand identity and marketing collateral design,500000,PHP,service,scheduled,none,true,
prod-011,HR Consulting,Human resource policy development and compliance,1200000,PHP,service,scheduled,none,true,
prod-012,Financial Planning,Personal or corporate financial planning advisory,1000000,PHP,service,scheduled,none,true,
prod-013,Compliance Review,Regulatory compliance audit and gap analysis,1800000,PHP,service,scheduled,none,true,
prod-014,Contract Drafting,Legal contract drafting and review,1200000,PHP,service,scheduled,none,true,
prod-015,Business Valuation,Business valuation and due diligence report,3500000,PHP,service,scheduled,none,true,
prod-goods-001,Industrial Detergent 5L,Heavy-duty industrial detergent concentrate 5 liter container,15000,PHP,stocked_good,shipped,bulk,true,
prod-goods-002,Office Bond Paper A4 (Ream),Standard 80gsm A4 bond paper 500 sheets per ream,15000,PHP,consumable,shipped,bulk,true,
prod-goods-003,Toner Cartridge HP 26A,HP 26A black toner cartridge for LaserJet printers,250000,PHP,stocked_good,shipped,bulk,true,
prod-supply-001,Nitrile Exam Gloves (Box of 100),Powder-free medical-grade nitrile gloves for service delivery,28000,PHP,consumable,shipped,bulk,true,
prod-supply-002,Sterile Gauze Pads 4x4 (Pack of 100),Cotton sterile gauze pads for wound care and procedures,15000,PHP,consumable,shipped,bulk,true,
prod-supply-003,Isopropyl Alcohol 70% (1L),Antiseptic alcohol for skin prep and surface sanitation,8500,PHP,consumable,shipped,bulk,true,
prod-supply-004,Surgical Mask (Box of 50),3-ply disposable surgical masks for staff and clients,12000,PHP,consumable,shipped,bulk,true,
prod-supply-005,Hand Sanitizer 500ml,70% ethyl alcohol gel hand sanitizer with moisturiser,9500,PHP,consumable,shipped,bulk,true,
prod-supply-006,Massage Oil 250ml,Hypoallergenic lavender-scented massage oil for spa services,22000,PHP,consumable,shipped,bulk,true,
prod-supply-007,Disposable Face Towels (Pack of 50),Soft lint-free face towels for facial and treatment rooms,14000,PHP,consumable,shipped,bulk,true,
prod-supply-008,Cotton Swabs (Box of 500),Double-tipped cotton swabs for clinical and aesthetic use,6000,PHP,consumable,shipped,bulk,true,
