id,revenue_id,product_id,quantity,unit_price,line_amount,line_item_type,active
e2e-rli-001,e2e-rev-001,prod-001,1,750000,750000,service,true
e2e-rli-002,e2e-rev-001,prod-005,2,75000,150000,service,true
e2e-rli-003,e2e-rev-002,prod-006,1,800000,800000,service,true
e2e-rli-004,e2e-rev-002,prod-007,1,600000,600000,service,true
e2e-rli-005,e2e-rev-002,prod-012,1,200000,200000,service,true
e2e-rli-006,e2e-rev-003,prod-003,1,1500000,1500000,service,true
e2e-rli-007,e2e-rev-003,prod-005,1,150000,150000,service,true
e2e-rli-008,e2e-rev-004,prod-008,2,900000,1800000,service,true
e2e-rli-009,e2e-rev-005,prod-015,1,3500000,3500000,service,true
e2e-rli-010,e2e-rev-006,prod-002,1,500000,500000,service,true
e2e-rli-011,e2e-rev-007,prod-007,2,600000,1200000,service,true
e2e-rli-012,e2e-rev-008,prod-014,1,1200000,1200000,service,true
e2e-rli-013,e2e-rev-008,prod-005,1,150000,150000,service,true
e2e-rli-014,e2e-rev-009,prod-011,2,1200000,2400000,service,true
e2e-rli-015,e2e-rev-010,prod-009,1,2000000,2000000,service,true
e2e-rli-016,e2e-rev-011,prod-004,1,2500000,2500000,service,true
e2e-rli-017,e2e-rev-012,prod-013,2,1800000,3600000,service,true
e2e-rli-018,e2e-rev-013,prod-012,1,1000000,1000000,service,true
e2e-rli-019,e2e-rev-013,prod-002,1,500000,500000,service,true
e2e-rli-020,e2e-rev-013,prod-006,1,500000,500000,service,true
e2e-rli-021,e2e-rev-014,prod-003,1,1500000,1500000,service,true
e2e-rli-022,e2e-rev-014,prod-005,2,150000,300000,service,true
e2e-rli-023,e2e-rev-015,prod-015,1,3500000,3500000,service,true
e2e-rli-024,e2e-rev-016,prod-006,1,800000,800000,service,true
e2e-rli-025,e2e-rev-017,prod-009,2,2000000,4000000,service,true
e2e-rli-026,e2e-rev-018,prod-007,1,600000,600000,service,true
e2e-rli-027,e2e-rev-018,prod-011,1,1200000,1200000,service,true
e2e-rli-028,e2e-rev-019,prod-014,1,1200000,1200000,service,true
e2e-rli-029,e2e-rev-019,prod-005,2,150000,300000,service,true
e2e-rli-030,e2e-rev-020,prod-004,1,2500000,2500000,service,true
e2e-rli-031,e2e-rev-021,prod-008,1,900000,900000,service,true
e2e-rli-032,e2e-rev-021,prod-010,1,500000,500000,service,true
e2e-rli-033,e2e-rev-022,prod-001,1,750000,750000,service,true
e2e-rli-034,e2e-rev-022,prod-014,1,300000,300000,service,true
e2e-rli-035,e2e-rev-023,prod-006,1,800000,800000,service,true
e2e-rli-036,e2e-rev-024,prod-002,1,500000,500000,service,true
e2e-rli-037,e2e-rev-024,prod-013,1,1800000,1800000,service,true
e2e-rli-038,e2e-rev-024,prod-012,1,200000,200000,service,true
e2e-rli-039,e2e-rev-025,prod-008,1,900000,900000,service,true
