id,job_template_id,name,phase_order,active,triggers_billing,billing_percent_bps
jtp-001,jt-001,Engagement Letter,1,true,,
jtp-002,jt-001,Research & Preparation,2,true,,
jtp-003,jt-001,Service Delivery,3,true,,
jtp-004,jt-002,Engagement Setup,1,true,,
jtp-005,jt-002,Monthly Execution,2,true,,
jtp-006,jt-002,Reporting & Billing,3,true,,
jtp-007,jt-003,Scoping & Proposal,1,true,,
jtp-008,jt-003,Project Execution,2,true,,
jtp-009,jt-003,Review & Revisions,3,true,,
jtp-010,jt-004,Audit Planning,1,true,,
jtp-tower-design,jt-tower-audit,Design,1,true,true,3000
jtp-tower-build,jt-tower-audit,Build,2,true,true,5000
jtp-tower-commission,jt-tower-audit,Commissioning,3,true,true,2000
jtp-permit-prep,jt-permit-filing,Prepare Filing,1,true,false,
jtp-permit-submit,jt-permit-filing,Submit & Track,2,true,true,10000
jtp-cleaning-visit-pro,jt-cleaning-pro,Cleaning Visit,1,true,false,
jtp-cleaning-visit-arrive,jt-cleaning-visit,Arrive & Prep,1,true,false,
jtp-cleaning-visit-clean,jt-cleaning-visit,Cleaning,2,true,false,
jtp-cleaning-visit-handoff,jt-cleaning-visit,Handoff,3,true,false,
jtp-cleaning-onboarding-walk,jt-cleaning-onboarding,Site Walkthrough,1,true,false,
jtp-cleaning-onboarding-setup,jt-cleaning-onboarding,Supplies Setup,2,true,false,
jtp-pool-visit-test,jt-pool-visit,Water Test,1,true,false,
jtp-pool-visit-treat,jt-pool-visit,Treat & Clean,2,true,false,
jtp-pool-visit-report,jt-pool-visit,Service Report,3,true,false,
jtp-lawn-visit-mow,jt-lawn-visit,Mow,1,true,false,
jtp-lawn-visit-edge,jt-lawn-visit,Edge & Trim,2,true,false,
jtp-lawn-visit-cleanup,jt-lawn-visit,Blow & Cleanup,3,true,false,
jtp-rental-period-deliver,jt-rental-period,Deliver Equipment,1,true,false,
jtp-rental-period-monitor,jt-rental-period,Monitor Period,2,true,false,
jtp-rental-period-recover,jt-rental-period,Recover Equipment,3,true,false,
jtp-subbox-pick,jt-subbox-fulfillment,Pick,1,true,false,
jtp-subbox-pack,jt-subbox-fulfillment,Pack,2,true,false,
jtp-subbox-ship,jt-subbox-fulfillment,Ship,3,true,false,
jtp-aircon-inspect,jt-aircon-service,Inspect Unit,1,true,false,
jtp-aircon-clean,jt-aircon-service,Clean & Service,2,true,false,
jtp-aircon-test,jt-aircon-service,Test & Sign Off,3,true,false,
jtp-dental-checkin,jt-dental-cleaning,Check-In,1,true,false,
jtp-dental-cleaning,jt-dental-cleaning,Cleaning Procedure,2,true,false,
jtp-dental-checkout,jt-dental-cleaning,Check-Out & Notes,3,true,false,
jtp-oncall-triage,jt-oncall-support,Triage Issue,1,true,false,
jtp-oncall-resolve,jt-oncall-support,Resolve & Document,2,true,false,
