id,workspace_id,internal_id,name,supplier_id,location_id,kind,status,billing_kind,billing_cycle_value,billing_cycle_unit,currency,committed_amount,released_amount,billed_amount,remaining_amount,cycle_amount,commitment_quantity,released_quantity,payment_term_id,expenditure_category_id,requested_by,approved_by,date_time_start,date_time_end,auto_renew,renewal_notice_days,reference_number,notes,date_created,date_modified,active
sc-001,default-workspace,SC-PRO-2026-001,LexisNexis Annual Subscription,sup-005,loc-main,subscription,active,recurring,1,month,PHP,28800000,2400000,2400000,26400000,2400000,,0,pt-net-60,expcat-technology,user-admin,user-admin,2026-01-01,2026-12-31,true,30,LX-MSA-2026,Auto-renews unless cancelled 30 days prior to expiry,2026-01-01,2026-04-01,true
sc-002,default-workspace,SC-PRO-2026-002,LBC Express Monthly Courier Retainer,sup-003,loc-main,utility,active,recurring,1,month,PHP,2160000,180000,180000,1980000,180000,,0,pt-immediate,expcat-services,user-admin,user-admin,2026-01-01,2026-12-31,false,,LBC-2026-COR,Variable monthly volume; cycle_amount is estimate,2026-01-01,2026-03-31,true
sc-003,default-workspace,SC-PRO-2026-003,Office Warehouse Cebu Standing Supply,sup-001,loc-main,framework,active,,,,PHP,,200000,200000,0,,,0,pt-net-30,expcat-office-supplies,user-admin,user-admin,2026-01-01,2026-12-31,true,,OWC-FW-2026,Pricing-only framework; no commitment value,2026-01-01,2026-03-15,true
sc-004,default-workspace,SC-PRO-2026-004,PrintXpress 12-Month Print Block,sup-004,loc-main,blanket,active,,,,PHP,15000000,5000000,5000000,10000000,,500000,150000,pt-net-15,expcat-services,user-admin,user-admin,2026-01-01,2026-12-31,false,30,PX-BLANKET-2026,500000 pages committed; bills on release,2026-01-01,2026-03-25,true
sc-005,default-workspace,SC-PRO-2026-005,TechPro Managed IT Retainer,sup-002,loc-main,retainer,active,recurring,1,month,PHP,18000000,1500000,1500000,16500000,1500000,,0,pt-net-30,expcat-technology,user-admin,user-admin,2026-01-01,2026-12-31,true,30,TP-RTNR-2026,Includes 40 managed-IT hours per month,2026-01-01,2026-03-15,true
sc-006,default-workspace,SC-PRO-2026-006,Prudential Annual PI Insurance,sup-006,loc-main,one_time,active,one_time,,,PHP,6000000,6000000,6000000,0,,,0,pt-net-30,expcat-insurance,user-admin,user-admin,2026-01-15,2027-01-14,false,60,PRU-PI-2026,Annual premium paid up front,2026-01-15,2026-01-15,true
sc-007,default-workspace,SC-PRO-2026-007,TechPro Capacity Expansion,sup-002,loc-main,subscription,pending_approval,recurring,1,month,PHP,9600000,0,0,9600000,800000,,0,pt-net-30,expcat-technology,user-admin,,2026-05-01,2027-04-30,true,30,TP-EXP-2026,Awaiting partner approval,2026-04-15,2026-04-20,true
sc-008,default-workspace,SC-PRO-2026-008,LexisNexis Add-On Module Trial,sup-005,loc-main,subscription,draft,recurring,1,month,PHP,,0,0,0,1500000,,0,pt-net-60,expcat-technology,,,2026-04-25,2026-12-31,true,30,LX-ADDON,Draft - not yet submitted for approval,2026-04-25,2026-04-25,true
sc-009,default-workspace,SC-PRO-2026-009,Q1 2025 Office Warehouse Supply Block,sup-001,loc-main,blanket,expired,,,,PHP,3000000,3000000,3000000,0,,1000,1000,pt-net-30,expcat-office-supplies,user-admin,user-admin,2025-01-01,2025-12-31,false,,OWC-BLOCK-2025,Last year fully released; preserved for history,2025-01-01,2025-12-31,true
sc-010,default-workspace,SC-PRO-2026-010,LBC Premium Logistics Add-On,sup-003,loc-main,subscription,terminated,recurring,1,month,PHP,1200000,300000,300000,900000,100000,,0,pt-immediate,expcat-services,user-admin,user-admin,2026-01-01,2026-03-31,false,,LBC-PREM-2026,Cancelled mid-term due to volume mismatch,2026-01-01,2026-03-31,true
