id,job_id,name,phase_order,status,active
jp-001,job-001,Engagement Letter,1,COMPLETED,true
jp-002,job-001,Research & Preparation,2,COMPLETED,true
jp-003,job-001,Service Delivery,3,COMPLETED,true
jp-004,job-002,Engagement Letter,1,COMPLETED,true
jp-005,job-002,Research & Preparation,2,COMPLETED,true
jp-006,job-002,Service Delivery,3,COMPLETED,true
jp-007,job-003,Scoping & Proposal,1,COMPLETED,true
jp-008,job-003,Project Execution,2,COMPLETED,true
jp-009,job-003,Review & Revisions,3,COMPLETED,true
jp-010,job-004,Audit Planning,1,COMPLETED,true
jp-011,job-004,Project Execution,2,IN_PROGRESS,true
jp-012,job-004,Review & Revisions,3,NOT_STARTED,true
jp-013,job-004,Reporting & Billing,4,NOT_STARTED,true
jp-014,job-005,Engagement Setup,1,COMPLETED,true
jp-015,job-005,Monthly Execution,2,IN_PROGRESS,true
jp-016,job-005,Reporting & Billing,3,NOT_STARTED,true
