id,plan_id,name,description,billing_amount,billing_currency,duration_value,duration_unit,price_schedule_id,active,billing_kind,amount_basis,entitled_occurrences
plan-consultation,plan-consultation,Consultation Monthly,Monthly legal consultation retainer,1500000,PHP,1,month,sched-default,true,BILLING_KIND_RECURRING,AMOUNT_BASIS_PER_CYCLE,
plan-advisory,plan-advisory,Advisory Monthly,Monthly tax advisory retainer,2500000,PHP,1,month,sched-default,true,BILLING_KIND_RECURRING,AMOUNT_BASIS_PER_CYCLE,
plan-audit,plan-audit,Audit Engagement,Per-engagement financial audit,5000000,PHP,3,month,sched-default,true,BILLING_KIND_CONTRACT,AMOUNT_BASIS_TOTAL_PACKAGE,
plan-bookkeeping,plan-bookkeeping,Bookkeeping Monthly,Monthly bookkeeping service,800000,PHP,1,month,sched-default,true,BILLING_KIND_RECURRING,AMOUNT_BASIS_PER_CYCLE,
pp-tower-audit-milestone,plan-tower-audit,Tower Audit · Milestone Plan,Milestone-billed structural audit engagement (₱500K total over 3 phases),50000000,PHP,,,ps-fy26-eng,true,BILLING_KIND_MILESTONE,AMOUNT_BASIS_TOTAL_PACKAGE,
pp-cleaning-monthly-pro,plan-cleaning-recurring-pro,Pro Cleaning Monthly,Monthly recurring cleaning subscription (operations-tracked but no milestone billing),1000000,PHP,1,month,sched-default,true,BILLING_KIND_RECURRING,AMOUNT_BASIS_PER_CYCLE,
pp-aircon-pool-5,plan-aircon-package,Aircon Service Pool · 5 visits,Prepaid pool of 5 aircon servicing visits at ₱5000/visit value,2500000,PHP,,,sched-default,true,BILLING_KIND_AD_HOC,AMOUNT_BASIS_TOTAL_PACKAGE,5
pp-aircon-per-call,plan-aircon-package,Aircon Service · Per Visit,Pay-per-visit aircon servicing engagement,550000,PHP,,,sched-default,true,BILLING_KIND_AD_HOC,AMOUNT_BASIS_PER_OCCURRENCE,
pp-dental-pool-3,plan-dental-prepay,Dental Cleaning Pool · 3 visits,Prepaid pool of 3 dental cleaning appointments,450000,PHP,,,sched-default,true,BILLING_KIND_AD_HOC,AMOUNT_BASIS_TOTAL_PACKAGE,3
pp-oncall-per-hour,plan-oncall-it,On-Call IT Support · Per Call,Pay-per-call IT support engagement (₱1500 per service call),150000,PHP,,,sched-default,true,BILLING_KIND_AD_HOC,AMOUNT_BASIS_PER_OCCURRENCE,
