workspace_id,id,name,description,active,job_template_id,visits_per_cycle
default-workspace,plan-consultation,Legal Consultation,Standard legal consultation package,true,,1
default-workspace,plan-advisory,Tax Advisory Retainer,Monthly tax advisory and compliance package,true,,1
default-workspace,plan-audit,Financial Audit Package,Comprehensive financial audit engagement,true,,1
default-workspace,plan-bookkeeping,Monthly Bookkeeping,Ongoing bookkeeping and ledger maintenance,true,,1
default-workspace,plan-tower-audit,Tower Audit Engagement,Structural-audit engagement billed in 3 milestones (design / build / commissioning),true,jt-tower-audit,1
default-workspace,plan-cleaning-recurring-pro,Pro Cleaning Plan (Recurring),Recurring service plan with operational tracking but cycle-based billing (no milestones),true,jt-cleaning-pro,1
default-workspace,plan-cleaning-monthly,Pro Cleaning Monthly,Monthly cleaning subscription — one visit per cycle,true,jt-cleaning-visit,1
default-workspace,plan-cleaning-biweekly,Pro Cleaning Biweekly,Biweekly cleaning subscription — two visits per monthly cycle,true,jt-cleaning-visit,2
default-workspace,plan-pool-quarterly,Pool Maintenance Quarterly,Quarterly pool service — one visit per cycle,true,jt-pool-visit,1
default-workspace,plan-lawn-weekly,Lawn Care Weekly,Weekly lawn service — one visit per weekly cycle,true,jt-lawn-visit,1
default-workspace,plan-rental-monthly-with-2-visits,Equipment Rental Monthly (2 visits),Monthly equipment rental with delivery and recovery visit per cycle,true,jt-rental-period,2
default-workspace,plan-subbox-monthly,Subscription Box Monthly,Monthly subscription-box fulfillment — one shipment per cycle,true,jt-subbox-fulfillment,1
default-workspace,plan-aircon-package,Aircon Service Package,Operator-driven aircon servicing engagement — pool or pay-per-visit,true,jt-aircon-service,1
default-workspace,plan-dental-prepay,Dental Prepay Package,Prepaid dental cleaning bundle — operator schedules each appointment,true,jt-dental-cleaning,1
default-workspace,plan-oncall-it,On-Call IT Support,On-demand IT support engagement — pay-per-call,true,jt-oncall-support,1
