id,procurement_request_id,product_id,description,line_type,quantity,estimated_unit_price,estimated_total_price,supplier_contract_line_id,location_id,line_number,active,fulfillment_mode,spawned_supplier_contract_id,spawned_purchase_order_line_item_id,spawned_expenditure_id,recurring_cycle_value,recurring_cycle_unit,recurring_term_value,recurring_term_unit,spawn_status,spawn_error,spawn_idempotency_key,spawn_attempted_at,spawn_completed_at
prl-001,pr-001,,Dell XPS 15 laptop with accessories,goods,2,250000,500000,,loc-main,1,true,1,,,,,,,,1,,pr-001:prl-001:1,,
prl-002,pr-001,,USB-C docking station,goods,2,25000,50000,,loc-main,2,true,1,,,,,,,,1,,pr-001:prl-002:1,,
prl-003,pr-002,,A4 bond paper reams,goods,30,15000,450000,scl-004,loc-main,1,true,2,,,,,,,,1,,pr-002:prl-003:1,,
prl-004,pr-003,,Additional dev environment seats,service,4,200000,800000,scl-009,loc-main,1,true,3,,,,1,month,12,month,1,,pr-003:prl-004:1,,
prl-005,pr-004,,Toner cartridges HP LaserJet,goods,10,20000,200000,scl-005,loc-main,1,true,2,,poli-002,,,,,,3,,pr-004:prl-005:1,1711800000,1711800600
prl-006,pr-005,,32-inch monitor,goods,5,80000,400000,,loc-main,1,true,1,,,,,,,,1,,pr-005:prl-006:1,,
prl-007,pr-006,,A4 bond paper restock,goods,20,15000,300000,scl-004,loc-main,1,true,2,,poli-001,,,,,,3,,pr-006:prl-007:1,1707120000,1707120600
prl-008,pr-007,,Research add-on trial subscription,service,1,150000,150000,,loc-main,1,true,3,,,,1,month,3,month,1,,pr-007:prl-008:1,,
prl-009,pr-008,,Emergency stationery petty cash,expense,1,4500,4500,,loc-main,1,true,4,,,,,,,,3,,pr-008:prl-009:1,1712880000,1712880060
prl-010,pr-009,,Dell Precision workstation,goods,1,450000,450000,,loc-main,1,true,1,,,,,,,,3,,pr-009:prl-010:1,1714291200,1714291800
prl-011,pr-009,,Cloud dev environment seats,service,5,80000,400000,scl-009,loc-main,2,true,3,sc-007,,,1,month,24,month,3,,pr-009:prl-011:1,1714291200,1714291800
prl-012,pr-009,,Office supplies for new hires,goods,1,100000,100000,,loc-main,3,true,2,,,,,,,,4,supplier-out-of-stock for monitor model,pr-009:prl-012:1,1714291200,
