id,name,description,price,currency,item_type,active,line_id
prod-001,Haircut - Standard,Basic haircut and styling,500,PHP,service,true,
prod-002,Haircut - Premium,Premium haircut with wash and blow dry,800,PHP,service,true,
prod-003,Hair Rebonding,Full rebonding treatment with keratin,2500,PHP,service,true,
prod-004,Hair Color - Full,Full head hair coloring service,1800,PHP,service,true,
prod-005,Hair Color - Highlights,Highlight and balayage coloring,2200,PHP,service,true,
prod-006,Hot Oil Treatment,Deep conditioning hot oil treatment,600,PHP,service,true,
prod-007,Full Body Massage,60-minute full body relaxation massage,1200,PHP,service,true,
prod-008,Facial Treatment,Deep cleansing facial with extraction,1000,PHP,service,true,
prod-009,Manicure,Basic manicure with polish,350,PHP,service,true,
prod-010,Pedicure,Basic pedicure with polish,400,PHP,service,true,
prod-011,Nail Art - Gel,Gel nail art full set,800,PHP,service,true,
prod-012,Makeup - Event,Professional event makeup application,2500,PHP,service,true,
prod-013,Makeup - Bridal,Bridal makeup with trial session,5000,PHP,service,true,
prod-014,Foot Spa,30-minute foot spa with scrub,500,PHP,service,true,
prod-015,Eyelash Extensions,Full set eyelash extensions,1500,PHP,service,true,
