id,job_template_phase_id,name,step_order,estimated_duration_minutes,active
jtt-001,jtp-001,Draft and send engagement letter,1,30,true
jtt-002,jtp-001,Obtain client signature and acknowledgment,2,15,true
jtt-003,jtp-002,Gather client documents and background,1,60,true
jtt-004,jtp-002,Conduct legal or technical research,2,120,true
jtt-005,jtp-003,Deliver service or consultation,1,90,true
jtt-006,jtp-003,Issue invoice and collect payment,2,15,true
jtt-007,jtp-004,Set up client file and retainer agreement,1,30,true
jtt-008,jtp-005,Perform monthly service deliverables,1,240,true
jtt-009,jtp-006,Prepare and send monthly report,1,60,true
jtt-010,jtp-006,Generate retainer invoice,2,15,true
jtt-011,jtp-007,Conduct scoping meeting with client,1,60,true
jtt-012,jtp-008,Execute project deliverables per scope,1,480,true
jtt-013,jtp-009,Client review and incorporate feedback,1,120,true
jtt-tower-design-1,jtp-tower-design,Site survey,1,,true
jtt-tower-design-2,jtp-tower-design,Initial sketches,2,,true
jtt-tower-design-3,jtp-tower-design,Stakeholder review,3,,true
jtt-tower-build-1,jtp-tower-build,Material procurement,1,,true
jtt-tower-build-2,jtp-tower-build,Construction phase,2,,true
jtt-tower-build-3,jtp-tower-build,Quality inspection,3,,true
jtt-tower-commission-1,jtp-tower-commission,Final inspection,1,,true
jtt-tower-commission-2,jtp-tower-commission,Sign-off,2,,true
jtt-permit-prep-1,jtp-permit-prep,Gather documents,1,,true
jtt-permit-prep-2,jtp-permit-prep,Validate completeness,2,,true
jtt-permit-submit-1,jtp-permit-submit,Submit to authority,1,,true
jtt-permit-submit-2,jtp-permit-submit,Track approval,2,,true
jtt-cleaning-pro-1,jtp-cleaning-visit-pro,Sweep & mop,1,,true
jtt-cleaning-pro-2,jtp-cleaning-visit-pro,Wipe surfaces,2,,true
jtt-cleaning-pro-3,jtp-cleaning-visit-pro,Empty bins,3,,true
jtt-clean-arrive-1,jtp-cleaning-visit-arrive,Confirm site access,1,10,true
jtt-clean-arrive-2,jtp-cleaning-visit-arrive,Unload supplies,2,10,true
jtt-clean-clean-1,jtp-cleaning-visit-clean,Sweep and mop floors,1,45,true
jtt-clean-clean-2,jtp-cleaning-visit-clean,Wipe surfaces and fixtures,2,30,true
jtt-clean-clean-3,jtp-cleaning-visit-clean,Empty bins and replace liners,3,10,true
jtt-clean-handoff-1,jtp-cleaning-visit-handoff,Walkthrough with client,1,10,true
jtt-clean-handoff-2,jtp-cleaning-visit-handoff,Log completion notes,2,5,true
jtt-clean-onboard-walk-1,jtp-cleaning-onboarding-walk,Tour site with client,1,30,true
jtt-clean-onboard-walk-2,jtp-cleaning-onboarding-walk,Capture access notes and preferences,2,15,true
jtt-clean-onboard-setup-1,jtp-cleaning-onboarding-setup,Stock cleaning supplies on site,1,30,true
jtt-clean-onboard-setup-2,jtp-cleaning-onboarding-setup,Confirm storage and labelling,2,15,true
jtt-pool-test-1,jtp-pool-visit-test,Test pH and chlorine,1,10,true
jtt-pool-test-2,jtp-pool-visit-test,Inspect filtration system,2,10,true
jtt-pool-treat-1,jtp-pool-visit-treat,Add chemicals per reading,1,15,true
jtt-pool-treat-2,jtp-pool-visit-treat,Vacuum and brush walls,2,30,true
jtt-pool-treat-3,jtp-pool-visit-treat,Skim surface debris,3,10,true
jtt-pool-report-1,jtp-pool-visit-report,Record readings and actions,1,10,true
jtt-pool-report-2,jtp-pool-visit-report,Send service report to client,2,5,true
jtt-lawn-mow-1,jtp-lawn-visit-mow,Mow front and back lawn,1,30,true
jtt-lawn-mow-2,jtp-lawn-visit-mow,Adjust mower height as needed,2,5,true
jtt-lawn-edge-1,jtp-lawn-visit-edge,Edge driveway and walkways,1,15,true
jtt-lawn-edge-2,jtp-lawn-visit-edge,Trim around obstacles,2,15,true
jtt-lawn-cleanup-1,jtp-lawn-visit-cleanup,Blow clippings off hard surfaces,1,10,true
jtt-lawn-cleanup-2,jtp-lawn-visit-cleanup,Bag debris and confirm with client,2,10,true
jtt-rental-deliver-1,jtp-rental-period-deliver,Schedule delivery slot,1,10,true
jtt-rental-deliver-2,jtp-rental-period-deliver,Deliver and stage equipment,2,30,true
jtt-rental-monitor-1,jtp-rental-period-monitor,Mid-period check-in call,1,10,true
jtt-rental-monitor-2,jtp-rental-period-monitor,Log usage notes,2,5,true
jtt-rental-recover-1,jtp-rental-period-recover,Schedule pickup,1,10,true
jtt-rental-recover-2,jtp-rental-period-recover,Inspect and stage for return,2,30,true
jtt-rental-recover-3,jtp-rental-period-recover,Close period in system,3,5,true
jtt-subbox-pick-1,jtp-subbox-pick,Pull SKUs from bin locations,1,15,true
jtt-subbox-pick-2,jtp-subbox-pick,Stage items at pack station,2,5,true
jtt-subbox-pack-1,jtp-subbox-pack,Pack box per template,1,15,true
jtt-subbox-pack-2,jtp-subbox-pack,Insert packing slip and inserts,2,5,true
jtt-subbox-ship-1,jtp-subbox-ship,Generate and apply shipping label,1,5,true
jtt-subbox-ship-2,jtp-subbox-ship,Hand off to carrier,2,5,true
jtt-aircon-inspect-1,jtp-aircon-inspect,Inspect filters and coils,1,15,true
jtt-aircon-inspect-2,jtp-aircon-inspect,Check refrigerant pressure,2,10,true
jtt-aircon-clean-1,jtp-aircon-clean,Clean filters and coils,1,30,true
jtt-aircon-clean-2,jtp-aircon-clean,Top up refrigerant if low,2,15,true
jtt-aircon-test-1,jtp-aircon-test,Run cooling test cycle,1,15,true
jtt-aircon-test-2,jtp-aircon-test,Customer sign-off and notes,2,10,true
jtt-dental-checkin-1,jtp-dental-checkin,Verify patient and update history,1,10,true
jtt-dental-cleaning-1,jtp-dental-cleaning,Scaling and polishing,1,30,true
jtt-dental-cleaning-2,jtp-dental-cleaning,Fluoride treatment,2,10,true
jtt-dental-checkout-1,jtp-dental-checkout,Post-care instructions and notes,1,10,true
jtt-oncall-triage-1,jtp-oncall-triage,Reproduce and scope issue,1,20,true
jtt-oncall-resolve-1,jtp-oncall-resolve,Apply fix and verify,1,30,true
jtt-oncall-resolve-2,jtp-oncall-resolve,Document fix and notify customer,2,10,true
