id,workspace_id,user_id,granted_by_user_id,name,permission_code,permission_type,active,applicable_principal_types
perm-admin-create,default-workspace,superadmin-001,superadmin-001,Admin: Create,admin:create,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-admin-read,default-workspace,superadmin-001,superadmin-001,Admin: Read,admin:read,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-admin-update,default-workspace,superadmin-001,superadmin-001,Admin: Update,admin:update,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-admin-delete,default-workspace,superadmin-001,superadmin-001,Admin: Delete,admin:delete,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-admin-list,default-workspace,superadmin-001,superadmin-001,Admin: List,admin:list,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-client-create,default-workspace,superadmin-001,superadmin-001,Client: Create,client:create,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-client-read,default-workspace,superadmin-001,superadmin-001,Client: Read,client:read,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-client-update,default-workspace,superadmin-001,superadmin-001,Client: Update,client:update,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-client-delete,default-workspace,superadmin-001,superadmin-001,Client: Delete,client:delete,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-client-list,default-workspace,superadmin-001,superadmin-001,Client: List,client:list,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-client_attribute-create,default-workspace,superadmin-001,superadmin-001,Client Attribute: Create,client_attribute:create,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-client_attribute-read,default-workspace,superadmin-001,superadmin-001,Client Attribute: Read,client_attribute:read,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-client_attribute-update,default-workspace,superadmin-001,superadmin-001,Client Attribute: Update,client_attribute:update,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-client_attribute-delete,default-workspace,superadmin-001,superadmin-001,Client Attribute: Delete,client_attribute:delete,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-client_attribute-list,default-workspace,superadmin-001,superadmin-001,Client Attribute: List,client_attribute:list,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-delegate-create,default-workspace,superadmin-001,superadmin-001,Delegate: Create,delegate:create,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-delegate-read,default-workspace,superadmin-001,superadmin-001,Delegate: Read,delegate:read,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-delegate-update,default-workspace,superadmin-001,superadmin-001,Delegate: Update,delegate:update,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-delegate-delete,default-workspace,superadmin-001,superadmin-001,Delegate: Delete,delegate:delete,PERMISSION_TYPE_ALLOW,true,"{1,2}"
perm-delegate-list,default-workspace,superadmin-001,superadmin-001,Delegate: List,delegate:list,PERMISSION_TYPE_ALLOW,true,"{1,2}"
